"82.41680908203125,117.50421142578125"
"26.90428924560547,25.279865264892578"
"-84.70146179199219,170.7164306640625"
"364.3826904296875,-24.92564582824707"
"-70.29302215576172,378.9156188964844"
"29.64777946472168,257.22271728515625"
"262.19744873046875,-236.9348907470703"
"269.6899108886719,133.2352294921875"
"-227.36854553222656,-313.48162841796875"
"196.9112091064453,327.07891845703125"
"21.285940170288086,-359.2757873535156"
"-389.0879821777344,146.3700408935547"
"32.461090087890625,-93.31859588623047"
"122.31824493408203,-114.31719207763672"
"169.66139221191406,-68.04033660888672"
"-225.3961639404297,-117.83951568603516"
"109.95851135253906,-21.3196964263916"
"-72.51338958740234,-116.50455474853516"
"-213.01593017578125,286.7288818359375"
"45.665626525878906,-181.37469482421875"
"-7.994086265563965,128.99253845214844"
"20.47126579284668,-222.68011474609375"
"-152.3739013671875,-117.56211853027344"
"-70.98403930664062,122.0456314086914"
"-49.31163787841797,-236.16458129882812"
"-32.363616943359375,-68.344970703125"
"156.9897918701172,-15.574298858642578"
"130.57623291015625,45.156131744384766"
"-186.96432495117188,-158.146728515625"
"-122.3161392211914,-165.99119567871094"
"-97.78108215332031,-217.8543243408203"
"92.69905090332031,-164.10406494140625"
"116.28836059570312,-64.5246353149414"
"-37.47453308105469,-28.98046112060547"
"-67.73516082763672,-63.556217193603516"
"-28.1939754486084,-173.53611755371094"
"-151.28314208984375,13.832592010498047"
"170.3932342529297,-472.3666687011719"
"-89.54454040527344,-34.68561553955078"
"-561.49267578125,345.44769287109375"
"41.00833511352539,271.7893371582031"
"-235.6059112548828,-464.1042785644531"
"565.49755859375,-361.1052551269531"
"-253.31121826171875,146.1056671142578"
"432.46820068359375,405.8965759277344"
"605.0667724609375,219.31686401367188"
"204.56529235839844,24.02768325805664"
"-250.35284423828125,303.8739318847656"
"485.61334228515625,-64.19918060302734"
"-352.8944091796875,31.116256713867188"
"-437.8386535644531,-477.10205078125"
"-152.05892944335938,507.543701171875"
"-508.04144287109375,40.713619232177734"
"-381.5743408203125,170.25643920898438"
"-425.8694152832031,-208.43650817871094"
